exp,N,phi,seed,op,wall_s,nearfield_interactions,rmse,rel_rmse,mae,rel_mae,max_rel_rmse,prmse_lin,prmse_ang
cluster,10,0.1,0,M_2b,0.0777779,7,0.104111,7.02865,0.214364,5.9164,12.2364,6.48017,46.1438
cluster,10,0.1,0,M_3b,0.0800207,7,0.0545002,3.67935,0.131945,3.64166,4.3526,2.4496,46.1438
cluster,10,0.1,0,M_mom_old,0.0467353,7,0.0451228,3.04628,0.106519,2.93989,4.28193,2.51732,28.9027
cluster,10,0.1,0,M_mom_v2_k10_rc6,0.0660405,7,0.0387183,2.6139,0.0924375,2.55126,4.05784,2.18446,24.1922
cluster,10,0.1,0,M_mom_v2_kinf_rc6,0.0530653,7,0.0380625,2.56963,0.0900652,2.48578,4.00924,2.13874,24.002
cluster,10,0.1,0,M_mom_v2_kinf_rc8,0.0805357,7,0.0392554,2.65016,0.0935543,2.58208,3.92116,2.2275,24.2018
cluster,10,0.1,0,M_mom_v2_kinf_rc8_pc8,0.0723217,7,0.0379613,2.5628,0.0859008,2.37085,3.83318,2.14308,23.6855
cluster,10,0.1,0,M_mom_v2_kinf_rc8_pc8_diag,0.0895257,7,0.0411377,2.77724,0.0950737,2.62402,4.09173,2.31521,25.849
cluster,10,0.1,0,M_nbody_b1,0.0477858,7,0.0488556,3.29828,0.112542,3.10614,4.5585,2.73981,30.9426
cluster,10,0.1,0,M_nbody_b1_v2,0.0590556,7,0.0430259,2.90472,0.101686,2.80651,3.99717,2.41812,27.12
cluster,10,0.1,0,M_rpy,0.00803423,7,0.155043,10.467,0.318733,8.79696,18.0159,9.93848,56.0107
cluster,10,0.2,0,M_2b,0.00675201,7.6,0.085434,5.72541,0.185587,5.08778,8.66829,5.31698,34.1502
cluster,10,0.2,0,M_3b,0.0162897,7.6,0.0562164,3.76737,0.128325,3.51797,5.81609,3.09985,34.1502
cluster,10,0.2,0,M_mom_old,0.0154965,7.6,0.023583,1.58043,0.0548629,1.50404,2.18289,0.973626,19.7988
cluster,10,0.2,0,M_mom_v2_k10_rc6,0.0178032,7.6,0.0303055,2.03094,0.0707187,1.93872,2.84849,1.65302,18.8154
cluster,10,0.2,0,M_mom_v2_kinf_rc6,0.0172808,7.6,0.0293428,1.96642,0.0677564,1.85751,2.88463,1.56522,18.9726
cluster,10,0.2,0,M_mom_v2_kinf_rc8,0.0189838,7.6,0.027204,1.82309,0.0615767,1.6881,2.77741,1.37413,19.0807
cluster,10,0.2,0,M_mom_v2_kinf_rc8_pc8,0.0133705,7.6,0.0218046,1.46125,0.0494465,1.35555,2.63856,0.931293,17.9106
cluster,10,0.2,0,M_mom_v2_kinf_rc8_pc8_diag,0.023423,7.6,0.0223482,1.49768,0.0514916,1.41162,2.31943,0.784762,20.2777
cluster,10,0.2,0,M_nbody_b1,0.0197544,7.6,0.0368319,2.46831,0.0886258,2.42964,3.24577,1.97737,23.55
cluster,10,0.2,0,M_nbody_b1_v2,0.0250969,7.6,0.0355119,2.37985,0.0846523,2.32071,3.39336,1.93293,22.1375
cluster,10,0.2,0,M_rpy,0.00808597,7.6,0.133099,8.9197,0.28832,7.90416,13.5518,8.55239,41.1392
cluster,10,0.5,0,M_2b,0.00767398,6.8,0.0498424,3.58238,0.107936,3.17597,5.37433,3.37355,20.8387
cluster,10,0.5,0,M_3b,0.0156691,6.8,0.0273421,1.96519,0.062605,1.84213,2.97211,1.54223,20.8387
cluster,10,0.5,0,M_mom_old,0.00874305,6.8,0.014838,1.06647,0.0355672,1.04655,1.42958,0.819615,11.6709
cluster,10,0.5,0,M_mom_v2_k10_rc6,0.0104971,6.8,0.0174421,1.25363,0.0415146,1.22155,1.50891,1.06682,11.2842
cluster,10,0.5,0,M_mom_v2_kinf_rc6,0.0101688,6.8,0.0170166,1.22305,0.0404519,1.19028,1.50909,1.0277,11.3603
cluster,10,0.5,0,M_mom_v2_kinf_rc8,0.0117235,6.8,0.0166175,1.19437,0.0397068,1.16836,1.6831,0.986414,11.5322
cluster,10,0.5,0,M_mom_v2_kinf_rc8_pc8,0.00646901,6.8,0.010622,0.763443,0.0243973,0.717881,1.21862,0.437945,10.6786
cluster,10,0.5,0,M_mom_v2_kinf_rc8_pc8_diag,0.00829744,6.8,0.0103786,0.745953,0.0239328,0.704212,1.08107,0.336459,11.3643
cluster,10,0.5,0,M_nbody_b1,0.0150528,6.8,0.0209982,1.50922,0.0499273,1.46909,2.37465,1.25276,14.4146
cluster,10,0.5,0,M_nbody_b1_v2,0.0184097,6.8,0.020553,1.47723,0.0492031,1.44778,2.29152,1.21497,14.3882
cluster,10,0.5,0,M_rpy,0.00787282,6.8,0.0822607,5.91241,0.177421,5.22053,8.94716,5.76228,23.3117
cluster,10,1,0,M_2b,0.00841975,5.2,0.0189469,1.59498,0.0395017,1.36202,3.01065,1.48113,12.0856
cluster,10,1,0,M_3b,0.0152354,5.2,0.0102509,0.862935,0.0243447,0.839406,1.164,0.624535,12.0856
cluster,10,1,0,M_mom_old,0.00944114,5.2,0.00725763,0.610959,0.0169716,0.58518,1.03106,0.49536,7.26509
cluster,10,1,0,M_mom_v2_k10_rc6,0.0117037,5.2,0.0072035,0.606402,0.0173173,0.597099,0.831271,0.5026,6.89505
cluster,10,1,0,M_mom_v2_kinf_rc6,0.011121,5.2,0.00738496,0.621678,0.0177639,0.612498,0.846892,0.514971,7.07739
cluster,10,1,0,M_mom_v2_kinf_rc8,0.0123098,5.2,0.00688788,0.579832,0.0166268,0.573293,0.770532,0.464072,7.06094
cluster,10,1,0,M_mom_v2_kinf_rc8_pc8,0.00815082,5.2,0.00595849,0.501595,0.0140734,0.485251,0.812051,0.378531,6.68112
cluster,10,1,0,M_mom_v2_kinf_rc8_pc8_diag,0.0112379,5.2,0.00603874,0.50835,0.0142816,0.492429,0.855709,0.383372,6.77703
cluster,10,1,0,M_nbody_b1,0.013464,5.2,0.0115605,0.973177,0.0263424,0.908284,1.45292,0.849889,9.64639
cluster,10,1,0,M_nbody_b1_v2,0.016196,5.2,0.00957102,0.805704,0.022688,0.782281,1.11958,0.673487,8.98856
cluster,10,1,0,M_rpy,0.00790524,5.2,0.0348002,2.92954,0.0748507,2.58085,5.01949,2.86569,12.6579
